fold,holdout_trial,n_test,mae,rmse,r2
1,1,78,1188.3789959226774,1430.2863065032573,-0.7859157616703827
2,10,63,1908.1325226198717,2014.1748286916609,-5.902412019216099
3,11,66,2053.0463694831305,2077.7190689331596,-26.99080557492082
4,12,63,1122.667528983002,1363.4024334223518,-0.9650941353456106
5,13,64,1097.8951704385183,1306.639911301085,0.09282894349250059
6,14,89,1757.9368588361413,2092.5979994822487,-0.10650801250292119
7,15,86,1726.8574202820669,2035.6937984324172,-0.09095217734154004
8,16,39,969.3116529356778,1193.4251180926597,0.02734560477468828
9,17,36,1066.6178116493247,1157.415816937042,-3.3138112411892946
10,18,20,1458.0897537940034,1680.274026978766,-0.07043141313943435
11,19,19,1559.8819607215435,1853.7619524520092,-0.04906272993769756
12,2,39,1537.6502250351061,1681.6955718104184,-1.7377072851718145
13,3,74,1220.5891357302198,1419.8121195888014,-1.1291888195441535
14,4,80,908.4123902277315,1100.232415466701,-0.16989653627199441
15,5,150,817.3234929520272,1008.9573974080662,-0.010269554293769634
16,6,38,1410.6022553100545,1441.8387465427509,-19.532991059079666
17,7,84,710.0507101727867,930.3947162887432,-0.3769277994834326
18,8,42,1114.3234751501602,1497.3207537492328,-0.4078147555735039
19,9,72,1505.340764690692,1951.341418116449,-0.03404933353443362
