trial_id,n_rows,n_treated,n_control,has_both_arms,effect_plusP_minusP,se2,country,location,soil_P_mean
1,78,39,39,True,944.0687179487186,48560.89045038238,Benin,Bohicon,7.7
10,63,31,32,True,841.5377419354841,27173.059718566597,Benin,Bohicon,6.191501331019108
11,66,33,33,True,382.7942424242424,7349.58599716483,Burkina Faso,Farako-Ba,1.39948597907651
12,63,31,32,True,944.7830241935487,47775.05979204897,Nigeria,Ikenne,2.3113768488585493
13,64,33,31,True,719.7155425219939,112757.7347193217,Benin,Cotonou,5.9
14,89,44,45,True,785.7284393939399,174870.08187087573,Tanzania,Dakawa,
15,86,43,43,True,1365.0241860465103,158701.85807155987,Tanzania,Ruvu,
16,39,13,26,True,-427.75192307692305,191294.8325483097,Japan,Tsukuba,8.266666666666667
17,36,18,18,True,822.9055555555556,16617.260169970952,Philippines,Pangil,4.099999999999999
18,20,0,20,False,,,Sri Lanka,Bathalagoda,2.6499999999999995
19,19,10,9,True,2386.548222222222,417755.111173716,Tanzania,Dakawa,
2,39,39,0,False,,,Burkina Faso,Farako-Ba,1.3999999999999997
3,74,37,37,True,538.3248648648646,48573.79597550117,Gambia,Yundum,4.8
4,80,40,40,True,193.7559999999994,52581.08997705128,Benin,Cotonou,9.0
5,150,75,75,True,-1139.3985333333321,18461.883522583543,Benin,Cotonou,12.45
6,38,19,19,True,309.75947368421055,8584.337175161589,Philippines,Pangil,4.099999999999999
7,84,42,42,True,-397.62261904761954,28738.77476627537,Nigeria,Ibadan,
8,42,21,21,True,-2006.3952380952383,58611.18983399094,Benin,Cotonou,5.86626849162675
9,72,36,36,True,637.9474999999998,204606.14030585322,Benin,Cotonou,6.271009647867686
