feature_1,feature_2,corr,high_corr_flag,drop_candidate
P_fertilizer,row_spacing,0.9305914297855025,False,
grain_P,residue_P,0.6149868971211886,False,
K_fertilizer,row_spacing,0.5801544823211104,False,
rep,row_spacing,0.5505357582982094,False,
row_spacing,residue_P,0.47639543700259257,False,
row_spacing,grain_P,0.4638941101521035,False,
N_fertilizer,row_spacing,0.4116308995315345,False,
planting_date,plot_area,0.4018479027712071,False,
flooded,irrigated,0.3932945345703142,False,
irrigated,soil_P,0.3930223548448095,False,
flooded,plot_area,0.3798693986044417,False,
flooded,N_fertilizer,0.365850546970519,False,
dmy_residue,soil_P,0.3555973620257553,False,
record_id,N_fertilizer,0.35226563407418865,False,
record_id,longitude,0.3508866109835458,False,
dmy_residue,irrigated,0.3437529674553567,False,
plot_area,longitude,0.33967984948311947,False,
P_fertilizer,residue_P,0.3383185435843711,False,
flooded,longitude,0.3286581663785808,False,
dmy_residue,N_fertilizer,0.3260460745631812,False,
flooded,soil_P,0.3257900285074226,False,
longitude,latitude,0.3198650366963458,False,
K_fertilizer,soil_pH,0.31520871697356356,False,
irrigated,longitude,0.31098588683118317,False,
flooded,grain_P,0.3032910803624684,False,
K_fertilizer,grain_P,0.3020051441271544,False,
irrigated,grain_P,0.2991479719695631,False,
N_fertilizer,longitude,0.29047127487500074,False,
P_fertilizer,grain_P,0.28682016251868125,False,
grain_P,soil_P,0.28062477748629333,False,
planting_date,soil_pH,0.26553487061930914,False,
planting_date,longitude,0.2617671241663709,False,
irrigated,plot_area,0.25865170325730985,False,
soil_pH,soil_P,0.2538938359697027,False,
K_fertilizer,residue_P,0.2510018880003883,False,
K_fertilizer,soil_P,0.2357461554788573,False,
planting_date,irrigated,0.2181126086838565,False,
flooded,dmy_residue,0.18928215203914667,False,
residue_P,soil_P,0.18530197212662705,False,
dmy_residue,grain_P,0.17904137172391002,False,
record_id,latitude,0.17651413791004605,False,
N_fertilizer,residue_P,0.16831893836450643,False,
rep,residue_P,0.16759934774899968,False,
rep,grain_P,0.15719152462338684,False,
planting_date,flooded,0.14824690028362386,False,
dmy_residue,soil_pH,0.14164603196415093,False,
N_fertilizer,irrigated,0.14005997864132083,False,
N_fertilizer,P_fertilizer,0.1390627688960595,False,
planting_date,dmy_residue,0.13037627635258112,False,
P_fertilizer,K_fertilizer,0.1291736656542797,False,
rep,plot_area,0.11921307555413835,False,
dmy_residue,residue_P,0.11824237034879967,False,
rep,P_fertilizer,0.1135635620077078,False,
flooded,rep,0.11171296960552031,False,
record_id,flooded,0.11001374387205919,False,
flooded,residue_P,0.10934615408497167,False,
record_id,dmy_residue,0.09618671766074414,False,
N_fertilizer,grain_P,0.08584883081611071,False,
planting_date,N_fertilizer,0.08329076512498775,False,
rep,soil_P,0.07455361304437631,False,
dmy_residue,longitude,0.06233571915671401,False,
rep,N_fertilizer,0.05861720210265763,False,
rep,K_fertilizer,0.058166528168387015,False,
record_id,planting_date,0.05456461541816899,False,
grain_P,soil_pH,0.044251751275991597,False,
flooded,row_spacing,0.04233361853848843,False,
residue_P,soil_pH,0.04005751172603743,False,
row_spacing,soil_P,0.03936837085406795,False,
plot_area,grain_P,0.038491308367629984,False,
P_fertilizer,latitude,0.027619959765735492,False,
rep,soil_pH,0.022495159820105297,False,
irrigated,residue_P,0.018347543176466075,False,
dmy_residue,K_fertilizer,0.011103049005805818,False,
rep,dmy_residue,0.004723521774199015,False,
plot_area,latitude,0.004343095561623745,False,
dmy_residue,P_fertilizer,0.0025840375723215686,False,
plot_area,residue_P,-0.0021663664039291174,False,
