feature,feature_type,between_group_eta2,within_group_std_ratio,group_purity_mean,proxy_flag
K_fertilizer,numeric,0.9999999999999998,0.0,,True
N_fertilizer,numeric,1.0000000000000002,0.0,,True
country,categorical,,,1.0,True
crop,categorical,,,1.0,True
dataset_id,categorical,,,1.0,True
flooded,numeric,1.0000000000000002,0.0,,True
irrigated,numeric,1.0000000000000002,0.0,,True
latitude,numeric,1.0000000000000002,0.0,,True
location,categorical,,,1.0,True
longitude,numeric,1.0,0.0,,True
planting_date,numeric,1.0,0.0,,True
plot_area,numeric,0.9530176847539328,0.07175567551062538,,True
record_id,numeric,0.9828596754046446,0.08269461163027711,,True
season,categorical,,,0.9736842105263158,True
soil_pH,numeric,0.8512759107131628,0.12764632496564943,,True
yield_part,categorical,,,1.0,True
P_fertilizer,numeric,0.07255853433808404,0.8688351354935812,,False
dmy_residue,numeric,0.5700748783073004,0.5383856548716164,,False
geo_from_source,numeric,,,,False
grain_P,numeric,0.5709404948280884,0.6316175700661689,,False
is_survey,numeric,,,,False
on_farm,numeric,,,,False
rep,numeric,0.3253822629969422,0.22989563713014063,,False
residue_P,numeric,0.3042627796310088,0.7590138769987951,,False
row_spacing,numeric,0.8440522760754526,0.0848516504372631,,False
soil_P,numeric,0.5832438949195351,0.23926554617169682,,False
treatment,categorical,,,0.5647420236600766,False
variety,categorical,,,0.04118686860978926,False
