feature,abs_weighted_spearman,n_groups_used
soil_P,0.5038950719043397,5
dmy_residue,0.44757803315985545,15
soil_pH,0.35421490016820906,5
plot_area,0.17413729360054775,3
rep,0.15948668046491482,1
row_spacing,0.1546537507538568,1
P_fertilizer,0.13121608518642727,17
grain_P,0.11646546847975728,19
record_id,0.058954566606380224,19
residue_P,0.056315565337922,15
planting_date,,0
flooded,,0
on_farm,,0
is_survey,,0
yield_moisture,,0
N_fertilizer,,0
K_fertilizer,,0
irrigated,,0
longitude,,0
latitude,,0
geo_from_source,,0
