feature,mean_abs_shap,shap_rank,final_role
location,222.11943698426185,1,context
variety,218.57864169718013,2,modifiable
soil_P,163.6508616170438,3,context
soil_pH,151.67799951052515,4,context
country,131.63922656336976,5,context
P_fertilizer,126.89470492814299,6,modifiable
plot_area,94.15917854330245,7,context
flooded,55.265035848140485,8,modifiable
latitude,54.522660111627694,9,context
planting_date,46.719456771237105,10,context
longitude,14.92146500971479,11,context
K_fertilizer,10.785992434820166,12,modifiable
N_fertilizer,10.566450316625907,13,modifiable
season,9.615446484280273,14,context
row_spacing,5.165437723160419,15,modifiable
irrigated,3.215875913580157,16,modifiable
rep,0.6043582840050851,17,context
