case_name,row_index,feature_rank,feature,feature_value,shap_value,abs_shap_value,direction
highest_pred,59,1,location,Cotonou,354.0519085991716,354.0519085991716,positive
highest_pred,59,2,soil_P,18.0,344.7733659678024,344.7733659678024,positive
highest_pred,59,3,variety,Kasalath,310.26915253251036,310.26915253251036,positive
highest_pred,59,4,soil_pH,6.0,202.54880217801366,202.54880217801366,positive
highest_pred,59,5,country,Benin,163.14683311725943,163.14683311725943,positive
highest_pred,59,6,plot_area,1.28,148.9819177992332,148.9819177992332,positive
highest_pred,59,7,flooded,1,125.19381232063525,125.19381232063525,positive
highest_pred,59,8,P_fertilizer,0,89.18215695639839,89.18215695639839,positive
highest_pred,59,9,planting_date,2012,72.88161771540919,72.88161771540919,positive
highest_pred,59,10,latitude,6.368,49.460242246486835,49.460242246486835,positive
lowest_pred,121,1,variety,PH218-5-3-5-3,-446.02309626169927,446.02309626169927,negative
lowest_pred,121,2,location,Farako-Ba,-411.6517015778249,411.6517015778249,negative
lowest_pred,121,3,soil_pH,6.2,-332.7204599345443,332.7204599345443,negative
lowest_pred,121,4,country,Burkina Faso,-244.70926132151004,244.70926132151004,negative
lowest_pred,121,5,soil_P,1.39948597907651,-239.7583341770196,239.7583341770196,negative
lowest_pred,121,6,P_fertilizer,0,-183.7062965263601,183.7062965263601,negative
lowest_pred,121,7,plot_area,1.4,-147.94843340703144,147.94843340703144,negative
lowest_pred,121,8,planting_date,2013,-115.65736238043763,115.65736238043763,negative
lowest_pred,121,9,latitude,11.0,-111.62936814857777,111.62936814857777,negative
lowest_pred,121,10,flooded,0,-71.02008538395225,71.02008538395225,negative
largest_overpred,39,1,variety,SURJAMKUHI,285.1804966813918,285.1804966813918,positive
largest_overpred,39,2,location,Cotonou,174.88366107775698,174.88366107775698,positive
largest_overpred,39,3,soil_pH,5.9,170.43364385733034,170.43364385733034,positive
largest_overpred,39,4,soil_P,3.25055030726496,-148.4844832847251,148.4844832847251,negative
largest_overpred,39,5,P_fertilizer,0,-142.34376619103395,142.34376619103395,negative
largest_overpred,39,6,country,Benin,100.67423676051075,100.67423676051075,positive
largest_overpred,39,7,latitude,6.368,57.65566032622524,57.65566032622524,positive
largest_overpred,39,8,flooded,0,-54.05707115499835,54.05707115499835,negative
largest_overpred,39,9,plot_area,0.4,50.08090292857276,50.08090292857276,positive
largest_overpred,39,10,longitude,2.322,18.37311979832658,18.37311979832658,positive
largest_underpred,48,1,variety,KALUBALAVEE,354.49227692063226,354.49227692063226,positive
largest_underpred,48,2,location,Cotonou,251.01857338551972,251.01857338551972,positive
largest_underpred,48,3,soil_pH,5.9,185.24606963250088,185.24606963250088,positive
largest_underpred,48,4,P_fertilizer,0,-162.29438526102342,162.29438526102342,negative
largest_underpred,48,5,plot_area,0.4,128.18108477357507,128.18108477357507,positive
largest_underpred,48,6,soil_P,3.25055030726496,-106.78077667616725,106.78077667616725,negative
largest_underpred,48,7,latitude,6.368,58.460706194746955,58.460706194746955,positive
largest_underpred,48,8,flooded,0,-38.24177912495994,38.24177912495994,negative
largest_underpred,48,9,country,Benin,-23.887855485756702,23.887855485756702,negative
largest_underpred,48,10,longitude,2.322,19.67997400991447,19.67997400991447,positive
largest_abs_error,29,1,variety,TOX1011-4-A2,370.2114506187478,370.2114506187478,positive
largest_abs_error,29,2,location,Cotonou,230.8588877037027,230.8588877037027,positive
largest_abs_error,29,3,soil_pH,5.9,186.4438066727486,186.4438066727486,positive
largest_abs_error,29,4,soil_P,3.25055030726496,-124.17706196731761,124.17706196731761,negative
largest_abs_error,29,5,country,Benin,122.03066062072016,122.03066062072016,positive
largest_abs_error,29,6,plot_area,0.4,120.87129857006599,120.87129857006599,positive
largest_abs_error,29,7,P_fertilizer,0,-110.91728573301914,110.91728573301914,negative
largest_abs_error,29,8,latitude,6.368,57.653121612840536,57.653121612840536,positive
largest_abs_error,29,9,flooded,0,-55.67332140620438,55.67332140620438,negative
largest_abs_error,29,10,longitude,2.322,19.84955198524687,19.84955198524687,positive
