feature,delta_rmse_mean,delta_rmse_std,delta_r2_mean,delta_r2_std,perm_rank
soil_P,132.62761380554903,21.813031167443274,0.1414613510531123,0.024654532183675082,1
variety,132.21746731208071,17.741468885426237,0.1409129945907373,0.020010236589708165,2
P_fertilizer,95.16628377321504,9.941913268233531,0.09953003339876151,0.010855056681927653,3
location,80.86499439661084,25.377541192047353,0.08426362432438751,0.027238882625682193,4
soil_pH,80.24899036654007,13.456882986606976,0.08335853286883586,0.014456103879408445,5
plot_area,73.60469962178499,15.75640101753496,0.07624575264469265,0.01696381574246785,6
flooded,62.12240774090809,7.451920501417296,0.06390162034848351,0.00791136499351207,7
planting_date,24.237068951219698,7.08646757799102,0.02446979146436301,0.007271781801099934,8
country,17.250575110125624,16.219397549481034,0.01747160928842692,0.016472887792169696,9
latitude,6.505956131864949,6.658997736479857,0.006524601553192538,0.00666668331261718,10
season,2.9559911170795488,0.6535960880509125,0.0029487922635094976,0.0006529147335206095,11
rep,1.089036761337951,0.09512483135753184,0.0010852531230877982,9.484818333279153e-05,12
K_fertilizer,0.49509340301646887,0.5615836589779328,0.0004933822245303116,0.0005596924357695245,13
N_fertilizer,-0.34954890974111663,1.7203969283470875,-0.000346537051765225,0.0017131173025420347,14
irrigated,-0.43038630842430337,0.7046330615900845,-0.00042829247566382456,0.0007015738687600621,15
row_spacing,-1.0824558658113261,0.7776351019202636,-0.001077157658434566,0.0007734574069510974,16
longitude,-5.695616755767489,1.3766953460259173,-0.005654778565255106,0.0013623959573760048,17
