rule_id,seed,country,n_country_test,support_count,support_pct,actual_lift_vs_country_baseline,predicted_lift_vs_country_baseline
R1,42,Benin,107,33,0.308411214953271,-685.8424582271314,-479.7637110557025
R1,42,Burkina Faso,20,0,0.0,,
R1,42,Japan,7,6,0.8571428571428571,-121.47666666666646,-52.90191128183233
R1,42,Nigeria,12,6,0.5,-574.9624999999996,-101.56794638691917
R1,42,Philippines,14,0,0.0,,
R2,42,Benin,107,36,0.3364485981308411,-98.25457943925267,-49.29640865636247
R2,42,Burkina Faso,20,0,0.0,,
R2,42,Japan,7,1,0.14285714285714285,728.8600000000001,317.41146769099305
R2,42,Nigeria,12,6,0.5,574.9624999999996,101.56794638691917
R2,42,Philippines,14,0,0.0,,
R3,42,Benin,107,21,0.19626168224299065,-25.639817534490703,-22.712488515126097
R3,42,Burkina Faso,20,0,0.0,,
R3,42,Japan,7,0,0.0,,
R3,42,Nigeria,12,0,0.0,,
R3,42,Philippines,14,0,0.0,,
R4,42,Benin,107,17,0.1588785046728972,1571.0824793842767,1063.755025604993
R4,42,Burkina Faso,20,0,0.0,,
R4,42,Japan,7,0,0.0,,
R4,42,Nigeria,12,0,0.0,,
R4,42,Philippines,14,0,0.0,,
R5,42,Benin,107,0,0.0,,
R5,42,Burkina Faso,20,13,0.65,472.8386153846152,466.5189572598754
R5,42,Japan,7,0,0.0,,
R5,42,Nigeria,12,0,0.0,,
R5,42,Philippines,14,0,0.0,,
R6,42,Benin,107,0,0.0,,
R6,42,Burkina Faso,20,0,0.0,,
R6,42,Japan,7,0,0.0,,
R6,42,Nigeria,12,0,0.0,,
R6,42,Philippines,14,7,0.5,249.08428571428567,267.07969580410804
R7,42,Benin,107,0,0.0,,
R7,42,Burkina Faso,20,0,0.0,,
R7,42,Japan,7,0,0.0,,
R7,42,Nigeria,12,0,0.0,,
R7,42,Philippines,14,7,0.5,-249.08428571428567,-267.0796958041085
R8,42,Benin,107,0,0.0,,
R8,42,Burkina Faso,20,7,0.35,-878.1288571428572,-866.3923491969109
R8,42,Japan,7,0,0.0,,
R8,42,Nigeria,12,0,0.0,,
R8,42,Philippines,14,0,0.0,,
R1,52,Benin,107,33,0.308411214953271,-310.9364146134235,-428.5107628730766
R1,52,Burkina Faso,20,0,0.0,,
R1,52,Japan,7,5,0.7142857142857143,527.0,-36.18880796693111
R1,52,Nigeria,12,7,0.5833333333333334,-627.1311904761901,-227.14090582044855
R1,52,Philippines,14,0,0.0,,
