rule_id,seed,support_count,support_pct,actual_lift_vs_global,predicted_lift_vs_global
R1,42,45,0.28125,-311.39990277777724,-46.78664474886273
R2,42,43,0.26875,348.79973546511656,312.24993369488084
R3,42,21,0.13125,360.28263690476206,373.02659978969587
R4,42,17,0.10625,1957.0049338235294,1459.494113909815
R5,42,13,0.08125,-788.8075096153846,-864.7559604159744
R6,42,7,0.04375,-935.7364107142855,-971.5494694612137
R7,42,7,0.04375,-1433.9049821428569,-1505.7088610694302
R8,42,7,0.04375,-2139.774982142857,-2197.6672668727606
R1,52,45,0.28125,85.77177104166685,-112.70099467102409
R2,52,43,0.26875,317.60919739825613,282.41072109856486
R3,52,22,0.1375,225.84801346590848,469.7077076892674
R4,52,16,0.1,1453.1158543749998,1391.658397258234
R5,52,12,0.075,-873.7367872916666,-723.9368039936478
R6,52,7,0.04375,-1151.8200384821425,-936.6372455667909
R7,52,7,0.04375,-1611.145752767857,-1374.0443061163198
R8,52,8,0.05,-1988.7291456249998,-1851.2759578290384
R1,62,45,0.28125,-482.2829444444442,-247.7005942072451
R2,62,43,0.26875,675.8406162790702,385.745663664316
R3,62,23,0.14375,216.73158695652228,391.50810038815416
R4,62,15,0.09375,1612.3935000000006,1618.411212998773
R5,62,14,0.0875,-671.5809285714283,-909.070028048036
R6,62,8,0.05,-789.4157499999999,-818.3436672524608
R7,62,6,0.0375,-1407.5211666666667,-1321.9215990408268
R8,62,6,0.0375,-2061.092833333333,-1919.355329535263
