model,model_key,params_json,n_features,n_trials_in_test,n_train,n_test,mae,rmse,r2,fit_seconds,param_set,scenario
ExtraTrees,extra_trees,"{""max_depth"": 12, ""min_samples_leaf"": 2, ""n_estimators"": 500}",17,13,670,160,733.7610808933308,965.9516889722266,0.5160600957617861,0.37229155499881017,3,modifiable_plus_context
CatBoost,catboost,"{""depth"": 6, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05, ""n_estimators"": 300}",17,13,670,160,710.3686646664605,968.5528396768203,0.5134502437166081,0.3118718460027594,1,modifiable_plus_context
LightGBM,lightgbm,"{""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31}",17,13,670,160,741.243207107538,972.9311163469996,0.5090414718198155,169.24778236299971,1,modifiable_plus_context
LightGBM,lightgbm,"{""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 31}",17,13,670,160,742.0413463918801,974.1937167010627,0.5077663833332915,286.08755562799706,2,modifiable_plus_context
CatBoost,catboost,"{""depth"": 6, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""n_estimators"": 500}",17,13,670,160,719.6266899242991,974.2491615409043,0.5077103521965471,0.3370515360002173,2,modifiable_plus_context
RandomForest,random_forest,"{""max_depth"": 12, ""min_samples_leaf"": 2, ""n_estimators"": 500}",17,13,670,160,734.9131168273409,977.5073965704267,0.5044120634147349,0.6523925700021209,3,modifiable_plus_context
CatBoost,catboost,"{""depth"": 4, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05, ""n_estimators"": 500}",17,13,670,160,728.0419640320033,979.3906738062049,0.5025006127917613,0.22498353300034069,3,modifiable_plus_context
RandomForest,random_forest,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 300}",17,13,670,160,733.1494349918042,981.7463592377067,0.5001045077185736,0.4202881579985842,1,modifiable_plus_context
XGBoost,xgboost,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.9}",17,13,670,160,725.5739393682479,982.1500458295127,0.4996933167929851,80.78807819999929,1,modifiable_plus_context
XGBoost,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 1.0}",17,13,670,160,720.3782382102012,989.5130456299722,0.49216378247110615,86.04987029100084,3,modifiable_plus_context
XGBoost,xgboost,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.9}",17,13,670,160,735.6703400707245,990.9295778948948,0.4907087611488218,131.64875931200004,2,modifiable_plus_context
ExtraTrees,extra_trees,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 300}",17,13,670,160,758.4773574531735,1019.1849796729847,0.46125078421465504,0.2423768119988381,1,modifiable_plus_context
RandomForest,random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 500}",17,13,670,160,764.4154187313001,1035.4361779171588,0.44393278299112116,0.763137674999598,2,modifiable_plus_context
LightGBM,lightgbm,"{""learning_rate"": 0.05, ""min_child_samples"": 30, ""n_estimators"": 500, ""num_leaves"": 63}",17,13,670,160,780.9817541720291,1042.779862018103,0.4360171563581151,187.46562806499787,3,modifiable_plus_context
ExtraTrees,extra_trees,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 500}",17,13,670,160,830.2457812083325,1131.9304190040452,0.3354615960456677,0.4143183219966886,2,modifiable_plus_context
