scenario,rank_in_scenario,feature
modifiable_plus_context,1,variety
modifiable_plus_context,2,flooded
modifiable_plus_context,3,irrigated
modifiable_plus_context,4,N_fertilizer
modifiable_plus_context,5,P_fertilizer
modifiable_plus_context,6,row_spacing
modifiable_plus_context,7,K_fertilizer
modifiable_plus_context,8,soil_P
modifiable_plus_context,9,plot_area
modifiable_plus_context,10,latitude
modifiable_plus_context,11,soil_pH
modifiable_plus_context,12,location
modifiable_plus_context,13,country
modifiable_plus_context,14,longitude
modifiable_plus_context,15,rep
modifiable_plus_context,16,season
modifiable_plus_context,17,planting_date
