model,param_set,scenario,trial_id,n_test,mae,rmse,r2
RandomForest,1,modifiable_plus_context,1,15,773.6373599854821,894.1420385046559,-1.7443561555344997
RandomForest,1,modifiable_plus_context,10,12,689.5455047132314,771.6976069524264,0.19473491164327217
RandomForest,1,modifiable_plus_context,11,13,293.41158698048457,354.1588246069786,0.39825653463941746
RandomForest,1,modifiable_plus_context,12,12,660.7139128744038,875.8225303603352,0.19072799436906163
RandomForest,1,modifiable_plus_context,13,12,937.813432056371,1088.903150751827,0.09540436030531951
RandomForest,1,modifiable_plus_context,16,7,1021.6539130112238,1238.7578187653885,-0.2244209778360613
RandomForest,1,modifiable_plus_context,17,7,344.24317588448383,391.8452489214491,-0.4886406629424376
RandomForest,1,modifiable_plus_context,2,7,884.211618523361,1035.59028617134,-0.06384440823678417
RandomForest,1,modifiable_plus_context,4,16,674.6960500065403,847.4074755819012,-0.028192133115693574
RandomForest,1,modifiable_plus_context,5,30,672.2635424359381,827.9000503034805,0.32739550898930414
RandomForest,1,modifiable_plus_context,6,7,170.16600829717365,199.37027721762382,0.3525138444176673
RandomForest,1,modifiable_plus_context,8,8,525.4973409000149,626.690113289004,0.6955000966160687
RandomForest,1,modifiable_plus_context,9,14,1594.227111573962,1985.911674322227,-0.16786942405745187
RandomForest,2,modifiable_plus_context,1,15,781.9649921587326,919.9527710912947,-1.9050827550802585
RandomForest,2,modifiable_plus_context,10,12,682.0450616666681,764.2732202970068,0.21015504439888988
RandomForest,2,modifiable_plus_context,11,13,274.93872615384606,315.7388590005754,0.5217320067366662
RandomForest,2,modifiable_plus_context,12,12,572.9654114497367,813.7187112256693,0.3014284470812719
RandomForest,2,modifiable_plus_context,13,12,915.3254941865076,1044.99445171796,0.1668869250426267
RandomForest,2,modifiable_plus_context,16,7,1016.7352457142866,1192.430048746294,-0.13455033252147253
RandomForest,2,modifiable_plus_context,17,7,410.88491428571587,491.28731698636153,-1.3400859668998364
RandomForest,2,modifiable_plus_context,2,7,877.7203485714242,1039.9192201318301,-0.07275707905254958
RandomForest,2,modifiable_plus_context,4,16,693.5428110624994,892.5063029447936,-0.14054461537208107
RandomForest,2,modifiable_plus_context,5,30,797.2055596031756,1017.7038899580889,-0.016358243187330368
RandomForest,2,modifiable_plus_context,6,7,155.61417714285668,207.3077246316758,0.29993134768511986
RandomForest,2,modifiable_plus_context,8,8,544.4733508333347,674.9933375522761,0.6467514035318043
RandomForest,2,modifiable_plus_context,9,14,1740.2454068021543,2113.145240830556,-0.3223095262399476
RandomForest,3,modifiable_plus_context,1,15,770.833849932267,877.766248825724,-1.6447534958040246
RandomForest,3,modifiable_plus_context,10,12,688.6072537852659,771.5227309903906,0.19509983580482926
RandomForest,3,modifiable_plus_context,11,13,294.6644206230184,354.99075501610577,0.3954261849464845
RandomForest,3,modifiable_plus_context,12,12,675.1399446812923,901.7545131396863,0.14209551080223803
RandomForest,3,modifiable_plus_context,13,12,948.553786435536,1101.6014998699313,0.07418328318006162
RandomForest,3,modifiable_plus_context,16,7,1028.5973956360597,1213.0136609161739,-0.17405739444662038
RandomForest,3,modifiable_plus_context,17,7,344.147436623263,390.60848234837783,-0.47925841055067164
RandomForest,3,modifiable_plus_context,2,7,852.6259670057404,1024.8515296148669,-0.04189531762944965
RandomForest,3,modifiable_plus_context,4,16,684.2335190345284,851.5271978821731,-0.038213669721513854
RandomForest,3,modifiable_plus_context,5,30,667.4403113703077,824.4003976291516,0.33306988237686386
RandomForest,3,modifiable_plus_context,6,7,170.72191972034003,200.02191130950587,0.34827436017582236
RandomForest,3,modifiable_plus_context,8,8,528.6513565926435,641.7319147304642,0.6807074766622941
RandomForest,3,modifiable_plus_context,9,14,1605.181151797537,1962.8586160894251,-0.14091284055984254
ExtraTrees,1,modifiable_plus_context,1,15,874.1706914660024,1000.8917034959704,-2.438758074688723
ExtraTrees,1,modifiable_plus_context,10,12,715.1175337896647,792.9399933502203,0.1497919558997023
ExtraTrees,1,modifiable_plus_context,11,13,293.03735330972614,355.68632469758387,0.3930546572540864
ExtraTrees,1,modifiable_plus_context,12,12,708.8673565783605,885.6155843366015,0.17252898162995955
ExtraTrees,1,modifiable_plus_context,13,12,1066.9471005706034,1215.064017906869,-0.12635243289915077
