feature,feature_type,missing_pct,constant_flag,near_constant_flag,proxy_flag,dictionary_proxy_or_leakage,high_corr_pair_count,high_corr_drop_candidate_count,association_metric,global_association,within_group_association,recommendation,reasons
Wind Direction_D91_D120,categorical,0.0,False,False,True,True,0,0,eta_squared,0.0016058500179235956,,drop,proxy_to_group;dictionary_proxy_or_leakage
Wind Direction_D1_D30,categorical,0.0,False,False,True,True,0,0,eta_squared,0.0016058500179235954,,drop,proxy_to_group;dictionary_proxy_or_leakage
Wind Direction_D61_D90,categorical,0.0,False,False,True,True,0,0,eta_squared,0.001537645160361962,,drop,proxy_to_group;dictionary_proxy_or_leakage
Wind Direction_D31_D60,categorical,0.0,False,False,True,True,0,0,eta_squared,0.0005417918813726554,,drop,proxy_to_group;dictionary_proxy_or_leakage
Trash(in bundles),numeric,0.0,False,False,False,True,0,0,abs_spearman,0.5662049890183043,0.5667807663058727,drop,dictionary_proxy_or_leakage
Inst Wind Speed_D1_D30(in Knots),numeric,0.0,False,False,True,True,0,0,abs_spearman,0.03309552122490674,,drop,proxy_to_group;dictionary_proxy_or_leakage
Inst Wind Speed_D61_D90(in Knots),numeric,0.0,False,False,True,True,0,0,abs_spearman,0.032673247976039634,,drop,proxy_to_group;dictionary_proxy_or_leakage
Max temp_D1_D30,numeric,0.0,False,False,True,True,0,0,abs_spearman,0.0295524128766314,,drop,proxy_to_group;dictionary_proxy_or_leakage
Max temp_D61_D90,numeric,0.0,False,False,True,True,0,0,abs_spearman,0.02875148168194575,,drop,proxy_to_group;dictionary_proxy_or_leakage
30DRain( in mm),numeric,0.0,False,False,True,True,1,0,abs_spearman,0.027709801134063766,,drop,proxy_to_group;dictionary_proxy_or_leakage;high_corr_pairs=1
30DAI(in mm),numeric,0.0,False,False,True,True,1,1,abs_spearman,0.027709801134063766,,drop,proxy_to_group;dictionary_proxy_or_leakage;high_corr_pairs=1
Min temp_D1_D30,numeric,0.0,False,False,True,True,1,0,abs_spearman,0.019513937049213538,,drop,proxy_to_group;dictionary_proxy_or_leakage;high_corr_pairs=1
Min temp_D61_D90,numeric,0.0,False,False,True,True,1,1,abs_spearman,0.019513937049213538,,drop,proxy_to_group;dictionary_proxy_or_leakage;high_corr_pairs=1
Inst Wind Speed_D91_D120(in Knots),numeric,0.0,False,False,True,True,0,0,abs_spearman,0.012662965452153426,,drop,proxy_to_group;dictionary_proxy_or_leakage
Max temp_D31_D60,numeric,0.0,False,False,True,True,0,0,abs_spearman,0.011631233068682892,,drop,proxy_to_group;dictionary_proxy_or_leakage
Max temp_D91_D120,numeric,0.0,False,False,True,True,0,0,abs_spearman,0.011631233068682892,,drop,proxy_to_group;dictionary_proxy_or_leakage
Relative Humidity_D61_D90,numeric,0.0,False,False,True,True,0,0,abs_spearman,0.010268903283697858,,drop,proxy_to_group;dictionary_proxy_or_leakage
Relative Humidity_D1_D30,numeric,0.0,False,False,True,True,0,0,abs_spearman,0.010077231943401618,,drop,proxy_to_group;dictionary_proxy_or_leakage
Inst Wind Speed_D31_D60(in Knots),numeric,0.0,False,False,True,True,0,0,abs_spearman,0.006746799133161418,,drop,proxy_to_group;dictionary_proxy_or_leakage
30_50DRain( in mm),numeric,0.0,False,False,True,True,3,0,abs_spearman,0.005830014793687751,,drop,proxy_to_group;dictionary_proxy_or_leakage;high_corr_pairs=3
30_50DAI(in mm),numeric,0.0,False,False,True,True,3,1,abs_spearman,0.005830014793687751,,drop,proxy_to_group;dictionary_proxy_or_leakage;high_corr_pairs=3
51_70DRain(in mm),numeric,0.0,False,False,True,True,1,0,abs_spearman,0.005830014793687751,,drop,proxy_to_group;dictionary_proxy_or_leakage;high_corr_pairs=1
51_70AI(in mm),numeric,0.0,False,False,True,True,1,1,abs_spearman,0.005830014793687751,,drop,proxy_to_group;dictionary_proxy_or_leakage;high_corr_pairs=1
71_105DRain(in mm),numeric,0.0,False,False,True,True,3,2,abs_spearman,0.005830014793687751,,drop,proxy_to_group;dictionary_proxy_or_leakage;high_corr_pairs=3
71_105DAI(in mm),numeric,0.0,False,False,True,True,3,3,abs_spearman,0.005830014793687751,,drop,proxy_to_group;dictionary_proxy_or_leakage;high_corr_pairs=3
Min temp_D31_D60,numeric,0.0,False,False,True,True,0,0,abs_spearman,0.003111582467194337,,drop,proxy_to_group;dictionary_proxy_or_leakage
Min temp_D91_D120,numeric,0.0,False,False,True,True,0,0,abs_spearman,0.0025696565392968264,,drop,proxy_to_group;dictionary_proxy_or_leakage
Relative Humidity_D31_D60,numeric,0.0,False,False,True,True,0,0,abs_spearman,0.001993233965974032,,drop,proxy_to_group;dictionary_proxy_or_leakage
Relative Humidity_D91_D120,numeric,0.0,False,False,True,True,0,0,abs_spearman,0.0010579328376885675,,drop,proxy_to_group;dictionary_proxy_or_leakage
Variety,categorical,0.0,False,False,False,False,0,0,eta_squared,0.00426456879038169,0.00666826718765984,keep,
Agriblock,categorical,0.0,False,False,False,False,0,0,eta_squared,0.0016058500179235956,,keep,
Soil Types,categorical,0.0,False,False,False,False,0,0,eta_squared,0.0001237543866103785,0.003320869959786401,keep,
Nursery,categorical,0.0,False,False,False,False,0,0,eta_squared,3.7720126150159164e-05,0.0021166498393089803,keep,
Hectares,numeric,0.0,False,False,False,False,11,0,abs_spearman,0.5995641268362094,0.5988987147847683,review,high_corr_pairs=11
Seedrate(in Kg),numeric,0.0,False,False,False,False,11,1,abs_spearman,0.5995641268362094,0.5988987147847683,review,high_corr_pairs=11
LP_Mainfield(in Tonnes),numeric,0.0,False,False,False,False,11,2,abs_spearman,0.5995641268362094,0.5988987147847683,review,high_corr_pairs=11
Nursery area (Cents),numeric,0.0,False,False,False,False,11,3,abs_spearman,0.5995641268362094,0.5988987147847683,review,high_corr_pairs=11
LP_nurseryarea(in Tonnes),numeric,0.0,False,False,False,False,11,4,abs_spearman,0.5995641268362094,0.5988987147847683,review,high_corr_pairs=11
DAP_20days,numeric,0.0,False,False,False,False,11,5,abs_spearman,0.5995641268362094,0.5988987147847683,review,high_corr_pairs=11
Weed28D_thiobencarb,numeric,0.0,False,False,False,False,11,6,abs_spearman,0.5995641268362094,0.5988987147847683,review,high_corr_pairs=11
Urea_40Days,numeric,0.0,False,False,False,False,11,7,abs_spearman,0.5995641268362094,0.5988987147847683,review,high_corr_pairs=11
