feature_1,feature_2,abs_corr,signed_corr,high_corr_flag,drop_candidate
51_70DRain(in mm),51_70AI(in mm),1.0,-1.0,True,51_70AI(in mm)
DAP_20days,Micronutrients_70Days,1.0,1.0,True,Micronutrients_70Days
30_50DAI(in mm),71_105DAI(in mm),1.0,1.0,True,71_105DAI(in mm)
30_50DRain( in mm),71_105DAI(in mm),1.0,-1.0,True,71_105DAI(in mm)
30DRain( in mm),30DAI(in mm),1.0,-1.0,True,30DAI(in mm)
Potassh_50Days,Micronutrients_70Days,1.0,1.0,True,Micronutrients_70Days
Urea_40Days,Potassh_50Days,1.0,1.0,True,Potassh_50Days
Urea_40Days,Micronutrients_70Days,1.0,1.0,True,Micronutrients_70Days
Urea_40Days,Pest_60Day(in ml),1.0,1.0,True,Pest_60Day(in ml)
DAP_20days,Pest_60Day(in ml),1.0,1.0,True,Pest_60Day(in ml)
LP_nurseryarea(in Tonnes),Weed28D_thiobencarb,1.0,1.0,True,Weed28D_thiobencarb
Nursery area (Cents),Micronutrients_70Days,1.0,1.0,True,Micronutrients_70Days
Nursery area (Cents),Pest_60Day(in ml),1.0,1.0,True,Pest_60Day(in ml)
Seedrate(in Kg),Weed28D_thiobencarb,1.0,1.0,True,Weed28D_thiobencarb
Seedrate(in Kg),LP_nurseryarea(in Tonnes),1.0,1.0,True,LP_nurseryarea(in Tonnes)
Seedrate(in Kg),LP_Mainfield(in Tonnes),1.0,1.0,True,LP_Mainfield(in Tonnes)
Seedrate(in Kg),Urea_40Days,1.0,1.0,True,Urea_40Days
Hectares,Weed28D_thiobencarb,1.0,1.0,True,Weed28D_thiobencarb
Hectares,Seedrate(in Kg),1.0,1.0,True,Seedrate(in Kg)
Hectares,LP_Mainfield(in Tonnes),1.0,1.0,True,LP_Mainfield(in Tonnes)
Hectares,LP_nurseryarea(in Tonnes),1.0,1.0,True,LP_nurseryarea(in Tonnes)
LP_Mainfield(in Tonnes),Urea_40Days,1.0,1.0,True,Urea_40Days
LP_Mainfield(in Tonnes),Weed28D_thiobencarb,1.0,1.0,True,Weed28D_thiobencarb
LP_Mainfield(in Tonnes),LP_nurseryarea(in Tonnes),1.0,1.0,True,LP_nurseryarea(in Tonnes)
Nursery area (Cents),DAP_20days,1.0,1.0,True,DAP_20days
LP_Mainfield(in Tonnes),Micronutrients_70Days,0.9999999999999999,0.9999999999999999,True,Micronutrients_70Days
Seedrate(in Kg),Micronutrients_70Days,0.9999999999999999,0.9999999999999999,True,Micronutrients_70Days
LP_Mainfield(in Tonnes),Potassh_50Days,0.9999999999999998,0.9999999999999998,True,Potassh_50Days
Hectares,Urea_40Days,0.9999999999999998,0.9999999999999998,True,Urea_40Days
LP_nurseryarea(in Tonnes),Urea_40Days,0.9999999999999998,0.9999999999999998,True,Urea_40Days
Weed28D_thiobencarb,Urea_40Days,0.9999999999999998,0.9999999999999998,True,Urea_40Days
Potassh_50Days,Pest_60Day(in ml),0.9999999999999998,0.9999999999999998,True,Pest_60Day(in ml)
Seedrate(in Kg),Potassh_50Days,0.9999999999999998,0.9999999999999998,True,Potassh_50Days
Micronutrients_70Days,Pest_60Day(in ml),0.9999999999999997,0.9999999999999997,True,Pest_60Day(in ml)
LP_nurseryarea(in Tonnes),Pest_60Day(in ml),0.9999999999999993,0.9999999999999993,True,Pest_60Day(in ml)
Hectares,Pest_60Day(in ml),0.9999999999999993,0.9999999999999993,True,Pest_60Day(in ml)
Weed28D_thiobencarb,Pest_60Day(in ml),0.9999999999999993,0.9999999999999993,True,Pest_60Day(in ml)
71_105DRain(in mm),71_105DAI(in mm),0.9999999999999992,-0.9999999999999992,True,71_105DAI(in mm)
30_50DRain( in mm),71_105DRain(in mm),0.9999999999999991,0.9999999999999991,True,71_105DRain(in mm)
DAP_20days,Urea_40Days,0.9999999999999991,0.9999999999999991,True,Urea_40Days
Nursery area (Cents),Urea_40Days,0.9999999999999991,0.9999999999999991,True,Urea_40Days
Nursery area (Cents),Weed28D_thiobencarb,0.999999999999999,0.999999999999999,True,Weed28D_thiobencarb
LP_nurseryarea(in Tonnes),DAP_20days,0.999999999999999,0.999999999999999,True,DAP_20days
