feature,missing_count,missing_pct,n_non_null,n_unique,dominant_value_ratio,std,variance,min,max,pearson_to_target,spearman_to_target,abs_spearman_to_target,constant_flag,near_constant_flag
Paddy yield_per_hectare(in Kg),0,0.0,2338,175,0.05945252352437981,289.2907642158262,83689.14626057674,5410.0,6469.0,1.0,1.0,1.0,False,False
Paddy yield(in Kg),0,0.0,2338,477,0.0213857998289136,9263.203303438137,85806935.4408272,5410.0,38814.0,0.6725842903611854,0.7210137885835469,0.7210137885835469,False,False
DAP_20days,0,0.0,2338,6,0.2934131736526946,58.00311619591685,3364.361488437032,40.0,240.0,0.5948777893494298,0.5995641268362094,0.5995641268362094,False,False
Hectares,0,0.0,2338,6,0.2934131736526946,1.4500779048979215,2.1027259302731456,1.0,6.0,0.5948777893494288,0.5995641268362094,0.5995641268362094,False,False
LP_Mainfield(in Tonnes),0,0.0,2338,6,0.2934131736526946,18.125973811224018,328.550926605179,12.5,75.0,0.5948777893494288,0.5995641268362094,0.5995641268362094,False,False
LP_nurseryarea(in Tonnes),0,0.0,2338,6,0.2934131736526946,1.4500779048979215,2.1027259302731456,1.0,6.0,0.5948777893494288,0.5995641268362094,0.5995641268362094,False,False
Micronutrients_70Days,0,0.0,2338,6,0.2934131736526946,21.751168573468824,473.1133343114578,15.0,90.0,0.5948777893494291,0.5995641268362094,0.5995641268362094,False,False
Nursery area (Cents),0,0.0,2338,6,0.2934131736526946,29.001558097958426,841.090372109258,20.0,120.0,0.5948777893494298,0.5995641268362094,0.5995641268362094,False,False
Pest_60Day(in ml),0,0.0,2338,6,0.2934131736526946,870.0467429387529,756981.3348983324,600.0,3600.0,0.5948777893494288,0.5995641268362094,0.5995641268362094,False,False
Potassh_50Days,0,0.0,2338,6,0.2934131736526946,15.051808652840425,226.55694372172186,10.38,62.28,0.5948777893494298,0.5995641268362094,0.5995641268362094,False,False
Seedrate(in Kg),0,0.0,2338,6,0.2934131736526946,36.251947622448036,1314.203706420716,25.0,150.0,0.5948777893494288,0.5995641268362094,0.5995641268362094,False,False
Urea_40Days,0,0.0,2338,6,0.2934131736526946,39.34061355988061,1547.6838752678623,27.13,162.78,0.594877789349429,0.5995641268362094,0.5995641268362094,False,False
Weed28D_thiobencarb,0,0.0,2338,6,0.2934131736526946,2.900155809795843,8.410903721092582,2.0,12.0,0.5948777893494288,0.5995641268362094,0.5995641268362094,False,False
Trash(in bundles),0,0.0,2338,17,0.18733960650128315,135.81313070112836,18445.20647084177,80.0,600.0,0.5500974099968401,0.5662049890183043,0.5662049890183043,False,False
Inst Wind Speed_D1_D30(in Knots),0,0.0,2338,4,0.38622754491017963,2.5525232075955997,6.515374725314128,4.0,10.0,0.030732638379801915,0.03309552122490674,0.03309552122490674,False,False
Inst Wind Speed_D61_D90(in Knots),0,0.0,2338,3,0.45979469632164244,1.9960080858690754,3.9840482788547305,4.0,10.0,0.027924277454097656,0.032673247976039634,0.032673247976039634,False,False
Max temp_D1_D30,0,0.0,2338,5,0.3272027373823781,1.325622431449206,1.757274830761305,31.0,35.0,-0.028714176902006457,-0.0295524128766314,0.0295524128766314,False,False
Max temp_D61_D90,0,0.0,2338,6,0.21471343028229256,1.0716303729063321,1.1483916561353646,31.0,34.0,0.027326917445697395,0.02875148168194575,0.02875148168194575,False,False
30DAI(in mm),0,0.0,2338,3,0.3678357570573139,0.639914055934739,0.4094899989828483,20.4,21.9,0.02055695903007175,0.027709801134063766,0.027709801134063766,False,False
30DRain( in mm),0,0.0,2338,3,0.3678357570573139,0.639914055934739,0.4094899989828483,18.1,19.6,-0.02055695903007175,-0.027709801134063766,0.027709801134063766,False,False
Min temp_D1_D30,0,0.0,2338,6,0.21471343028229256,0.8732422297534252,0.762551991824734,18.0,20.5,0.01762987369821506,0.019513937049213538,0.019513937049213538,False,False
Min temp_D61_D90,0,0.0,2338,6,0.21471343028229256,1.0719360118484367,1.1490468134975316,15.0,18.0,0.016421328888250118,0.019513937049213538,0.019513937049213538,False,False
Inst Wind Speed_D91_D120(in Knots),0,0.0,2338,3,0.3686911890504705,2.5158206926073814,6.329353757351484,6.0,12.0,0.00998441224629484,0.012662965452153426,0.012662965452153426,False,False
Max temp_D31_D60,0,0.0,2338,5,0.30966638152266895,2.529431292640967,6.398022664191354,28.0,35.0,-0.007958464284255552,-0.011631233068682892,0.011631233068682892,False,False
Max temp_D91_D120,0,0.0,2338,5,0.30966638152266895,1.4900829777261566,2.2203472805092495,30.5,35.0,0.015613708574233033,0.011631233068682892,0.011631233068682892,False,False
