feature_group,feature,role,is_numeric,missing_pct,association_metric,association_value,abs_association
Farm profile,Hectares,context,True,0.0,abs_spearman,0.5995641268362094,0.5995641268362094
Farm profile,Agriblock,context,False,0.0,eta_squared,0.0016058500179235956,0.0016058500179235956
Crop choice,Variety,modifiable,False,0.0,eta_squared,0.00426456879038169,0.00426456879038169
Field condition,Soil Types,context,False,0.0,eta_squared,0.0001237543866103785,0.0001237543866103785
Input practice,Seedrate(in Kg),modifiable,True,0.0,abs_spearman,0.5995641268362094,0.5995641268362094
Input practice,LP_Mainfield(in Tonnes),modifiable,True,0.0,abs_spearman,0.5995641268362094,0.5995641268362094
Input practice,Nursery,modifiable,False,0.0,eta_squared,3.7720126150159164e-05,3.7720126150159164e-05
Input practice,Nursery area (Cents),modifiable,True,0.0,abs_spearman,0.5995641268362094,0.5995641268362094
Input practice,LP_nurseryarea(in Tonnes),modifiable,True,0.0,abs_spearman,0.5995641268362094,0.5995641268362094
Fertilizer schedule,DAP_20days,modifiable,True,0.0,abs_spearman,0.5995641268362094,0.5995641268362094
Crop protection schedule,Weed28D_thiobencarb,modifiable,True,0.0,abs_spearman,0.5995641268362094,0.5995641268362094
Fertilizer schedule,Urea_40Days,modifiable,True,0.0,abs_spearman,0.5995641268362094,0.5995641268362094
Fertilizer schedule,Potassh_50Days,modifiable,True,0.0,abs_spearman,0.5995641268362094,0.5995641268362094
Fertilizer schedule,Micronutrients_70Days,modifiable,True,0.0,abs_spearman,0.5995641268362094,0.5995641268362094
Crop protection schedule,Pest_60Day(in ml),modifiable,True,0.0,abs_spearman,0.5995641268362094,0.5995641268362094
Weather/water,30DRain( in mm),proxy,True,0.0,abs_spearman,-0.027709801134063766,0.027709801134063766
Weather/water,30DAI(in mm),proxy,True,0.0,abs_spearman,0.027709801134063766,0.027709801134063766
Weather/water,30_50DRain( in mm),proxy,True,0.0,abs_spearman,0.005830014793687751,0.005830014793687751
Weather/water,30_50DAI(in mm),proxy,True,0.0,abs_spearman,-0.005830014793687751,0.005830014793687751
Weather/water,51_70DRain(in mm),proxy,True,0.0,abs_spearman,0.005830014793687751,0.005830014793687751
Weather/water,51_70AI(in mm),proxy,True,0.0,abs_spearman,-0.005830014793687751,0.005830014793687751
Weather/water,71_105DRain(in mm),proxy,True,0.0,abs_spearman,0.005830014793687751,0.005830014793687751
Weather/water,71_105DAI(in mm),proxy,True,0.0,abs_spearman,-0.005830014793687751,0.005830014793687751
Weather,Min temp_D1_D30,proxy,True,0.0,abs_spearman,0.019513937049213538,0.019513937049213538
Weather,Max temp_D1_D30,proxy,True,0.0,abs_spearman,-0.0295524128766314,0.0295524128766314
Weather,Min temp_D31_D60,proxy,True,0.0,abs_spearman,0.003111582467194337,0.003111582467194337
Weather,Max temp_D31_D60,proxy,True,0.0,abs_spearman,-0.011631233068682892,0.011631233068682892
Weather,Min temp_D61_D90,proxy,True,0.0,abs_spearman,0.019513937049213538,0.019513937049213538
Weather,Max temp_D61_D90,proxy,True,0.0,abs_spearman,0.02875148168194575,0.02875148168194575
Weather,Min temp_D91_D120,proxy,True,0.0,abs_spearman,0.0025696565392968264,0.0025696565392968264
Weather,Max temp_D91_D120,proxy,True,0.0,abs_spearman,0.011631233068682892,0.011631233068682892
Weather,Inst Wind Speed_D1_D30(in Knots),proxy,True,0.0,abs_spearman,0.03309552122490674,0.03309552122490674
Weather,Inst Wind Speed_D31_D60(in Knots),proxy,True,0.0,abs_spearman,0.006746799133161418,0.006746799133161418
Weather,Inst Wind Speed_D61_D90(in Knots),proxy,True,0.0,abs_spearman,0.032673247976039634,0.032673247976039634
Weather,Inst Wind Speed_D91_D120(in Knots),proxy,True,0.0,abs_spearman,0.012662965452153426,0.012662965452153426
Weather,Wind Direction_D1_D30,proxy,False,0.0,eta_squared,0.0016058500179235954,0.0016058500179235954
Weather,Wind Direction_D31_D60,proxy,False,0.0,eta_squared,0.0005417918813726554,0.0005417918813726554
Weather,Wind Direction_D61_D90,proxy,False,0.0,eta_squared,0.001537645160361962,0.001537645160361962
Weather,Wind Direction_D91_D120,proxy,False,0.0,eta_squared,0.0016058500179235956,0.0016058500179235956
Weather,Relative Humidity_D1_D30,proxy,True,0.0,abs_spearman,-0.010077231943401618,0.010077231943401618
Weather,Relative Humidity_D31_D60,proxy,True,0.0,abs_spearman,-0.001993233965974032,0.001993233965974032
Weather,Relative Humidity_D61_D90,proxy,True,0.0,abs_spearman,-0.010268903283697858,0.010268903283697858
Weather,Relative Humidity_D91_D120,proxy,True,0.0,abs_spearman,0.0010579328376885675,0.0010579328376885675
Post-harvest/byproduct,Trash(in bundles),proxy,True,0.0,abs_spearman,0.5662049890183043,0.5662049890183043
