stage_label,stage_start_day,stage_end_day,feature,feature_group,final_role,is_numeric,association_metric,association_value,abs_association
D1_D30,1.0,30.0,Inst Wind Speed_D1_D30(in Knots),Weather,proxy,True,abs_spearman,0.03309552122490674,0.03309552122490674
D1_D30,1.0,30.0,Max temp_D1_D30,Weather,proxy,True,abs_spearman,-0.0295524128766314,0.0295524128766314
D1_D30,1.0,30.0,30DRain( in mm),Weather/water,proxy,True,abs_spearman,-0.027709801134063766,0.027709801134063766
D1_D30,1.0,30.0,30DAI(in mm),Weather/water,proxy,True,abs_spearman,0.027709801134063766,0.027709801134063766
D1_D30,1.0,30.0,Min temp_D1_D30,Weather,proxy,True,abs_spearman,0.019513937049213538,0.019513937049213538
D1_D30,1.0,30.0,Relative Humidity_D1_D30,Weather,proxy,True,abs_spearman,-0.010077231943401618,0.010077231943401618
D1_D30,1.0,30.0,Wind Direction_D1_D30,Weather,proxy,False,eta_squared,0.0016058500179235954,0.0016058500179235954
D30_D50,30.0,50.0,30_50DRain( in mm),Weather/water,proxy,True,abs_spearman,0.005830014793687751,0.005830014793687751
D30_D50,30.0,50.0,30_50DAI(in mm),Weather/water,proxy,True,abs_spearman,-0.005830014793687751,0.005830014793687751
D31_D60,31.0,60.0,Max temp_D31_D60,Weather,proxy,True,abs_spearman,-0.011631233068682892,0.011631233068682892
D31_D60,31.0,60.0,Inst Wind Speed_D31_D60(in Knots),Weather,proxy,True,abs_spearman,0.006746799133161418,0.006746799133161418
D31_D60,31.0,60.0,Min temp_D31_D60,Weather,proxy,True,abs_spearman,0.003111582467194337,0.003111582467194337
D31_D60,31.0,60.0,Relative Humidity_D31_D60,Weather,proxy,True,abs_spearman,-0.001993233965974032,0.001993233965974032
D31_D60,31.0,60.0,Wind Direction_D31_D60,Weather,proxy,False,eta_squared,0.0005417918813726554,0.0005417918813726554
D51_D70,51.0,70.0,51_70DRain(in mm),Weather/water,proxy,True,abs_spearman,0.005830014793687751,0.005830014793687751
D51_D70,51.0,70.0,51_70AI(in mm),Weather/water,proxy,True,abs_spearman,-0.005830014793687751,0.005830014793687751
D61_D90,61.0,90.0,Inst Wind Speed_D61_D90(in Knots),Weather,proxy,True,abs_spearman,0.032673247976039634,0.032673247976039634
D61_D90,61.0,90.0,Max temp_D61_D90,Weather,proxy,True,abs_spearman,0.02875148168194575,0.02875148168194575
D61_D90,61.0,90.0,Min temp_D61_D90,Weather,proxy,True,abs_spearman,0.019513937049213538,0.019513937049213538
D61_D90,61.0,90.0,Relative Humidity_D61_D90,Weather,proxy,True,abs_spearman,-0.010268903283697858,0.010268903283697858
D61_D90,61.0,90.0,Wind Direction_D61_D90,Weather,proxy,False,eta_squared,0.001537645160361962,0.001537645160361962
D71_D105,71.0,105.0,71_105DRain(in mm),Weather/water,proxy,True,abs_spearman,0.005830014793687751,0.005830014793687751
D71_D105,71.0,105.0,71_105DAI(in mm),Weather/water,proxy,True,abs_spearman,-0.005830014793687751,0.005830014793687751
D91_D120,91.0,120.0,Inst Wind Speed_D91_D120(in Knots),Weather,proxy,True,abs_spearman,0.012662965452153426,0.012662965452153426
D91_D120,91.0,120.0,Max temp_D91_D120,Weather,proxy,True,abs_spearman,0.011631233068682892,0.011631233068682892
D91_D120,91.0,120.0,Min temp_D91_D120,Weather,proxy,True,abs_spearman,0.0025696565392968264,0.0025696565392968264
D91_D120,91.0,120.0,Wind Direction_D91_D120,Weather,proxy,False,eta_squared,0.0016058500179235956,0.0016058500179235956
D91_D120,91.0,120.0,Relative Humidity_D91_D120,Weather,proxy,True,abs_spearman,0.0010579328376885675,0.0010579328376885675
