feature,mean_abs_shap,final_role
Pest_60Day(in ml),25.160318809558497,modifiable
Seedrate(in Kg),22.825671299048693,modifiable
Micronutrients_70Days,21.910040180452917,modifiable
Weed28D_thiobencarb,20.748762208562216,modifiable
Potassh_50Days,17.251664134980622,modifiable
LP_Mainfield(in Tonnes),15.585543520904654,modifiable
Variety,14.68810893503033,modifiable
Nursery area (Cents),14.687209971876811,modifiable
Hectares,14.39871562505599,context
Urea_40Days,13.987614335861304,modifiable
DAP_20days,13.813071266308896,modifiable
LP_nurseryarea(in Tonnes),12.247325582948458,modifiable
Soil Types,2.235853137320257,context
Nursery,1.0525586938543356,modifiable
