case_name,row_index,feature_rank,feature,feature_value,shap_value,abs_shap_value,direction
highest_prediction,448,1,Variety,delux ponni,26.51085454546902,26.51085454546902,positive
highest_prediction,448,2,Pest_60Day(in ml),3000,26.024009585915557,26.024009585915557,positive
highest_prediction,448,3,Seedrate(in Kg),125,24.713793036167775,24.713793036167775,positive
highest_prediction,448,4,Micronutrients_70Days,75,23.66504276232049,23.66504276232049,positive
highest_prediction,448,5,Weed28D_thiobencarb,10,22.249079821589063,22.249079821589063,positive
highest_prediction,448,6,Potassh_50Days,51.9,19.957453469011647,19.957453469011647,positive
highest_prediction,448,7,DAP_20days,200,18.808230008361072,18.808230008361072,positive
highest_prediction,448,8,Hectares,5,18.798972406856468,18.798972406856468,positive
highest_prediction,448,9,LP_Mainfield(in Tonnes),62.5,17.105764642225527,17.105764642225527,positive
highest_prediction,448,10,Nursery area (Cents),100,17.070635504192637,17.070635504192637,positive
lowest_prediction,1416,1,Pest_60Day(in ml),1800,-36.05903681919679,36.05903681919679,negative
lowest_prediction,1416,2,Seedrate(in Kg),75,-30.395839450997475,30.395839450997475,negative
lowest_prediction,1416,3,Micronutrients_70Days,45,-30.282753386133336,30.282753386133336,negative
lowest_prediction,1416,4,Weed28D_thiobencarb,6,-28.630564465677097,28.630564465677097,negative
lowest_prediction,1416,5,Potassh_50Days,31.14,-21.54817441288427,21.54817441288427,negative
lowest_prediction,1416,6,Nursery area (Cents),60,-20.125660031133705,20.125660031133705,negative
lowest_prediction,1416,7,DAP_20days,120,-17.38768250813588,17.38768250813588,negative
lowest_prediction,1416,8,Hectares,3,-16.689177655941872,16.689177655941872,negative
lowest_prediction,1416,9,LP_Mainfield(in Tonnes),37.5,-16.59483774414054,16.59483774414054,negative
lowest_prediction,1416,10,Urea_40Days,81.39,-16.18644954668711,16.18644954668711,negative
largest_overprediction,366,1,Pest_60Day(in ml),3000,25.03189411413382,25.03189411413382,positive
largest_overprediction,366,2,Seedrate(in Kg),125,24.575148338988726,24.575148338988726,positive
largest_overprediction,366,3,Weed28D_thiobencarb,10,23.573023332752292,23.573023332752292,positive
largest_overprediction,366,4,Micronutrients_70Days,75,22.47925632145523,22.47925632145523,positive
largest_overprediction,366,5,Potassh_50Days,51.9,19.555455632689174,19.555455632689174,positive
largest_overprediction,366,6,Hectares,5,18.884943737581445,18.884943737581445,positive
largest_overprediction,366,7,DAP_20days,200,17.66879032713343,17.66879032713343,positive
largest_overprediction,366,8,Urea_40Days,135.65,17.344621734184006,17.344621734184006,positive
largest_overprediction,366,9,LP_Mainfield(in Tonnes),62.5,17.29082240799015,17.29082240799015,positive
largest_overprediction,366,10,Nursery area (Cents),100,16.08809812105705,16.08809812105705,positive
largest_underprediction,141,1,Variety,ponmani,-62.936635611225896,62.936635611225896,negative
largest_underprediction,141,2,Pest_60Day(in ml),3600,11.167126094325132,11.167126094325132,positive
largest_underprediction,141,3,Micronutrients_70Days,90,10.042384633264478,10.042384633264478,positive
largest_underprediction,141,4,Seedrate(in Kg),150,8.413401127024805,8.413401127024805,positive
largest_underprediction,141,5,Urea_40Days,162.78,-6.4109097332488885,6.4109097332488885,negative
largest_underprediction,141,6,Weed28D_thiobencarb,12,-5.817708485626878,5.817708485626878,negative
largest_underprediction,141,7,Hectares,6,4.859579558794048,4.859579558794048,positive
largest_underprediction,141,8,LP_nurseryarea(in Tonnes),6,-3.9954702926101073,3.9954702926101073,negative
largest_underprediction,141,9,Soil Types,clay,3.6444751605369756,3.6444751605369756,positive
largest_underprediction,141,10,Nursery,wet,-2.948599388394222,2.948599388394222,negative
median_prediction,1400,1,Pest_60Day(in ml),2400,17.313311296917547,17.313311296917547,positive
median_prediction,1400,2,Seedrate(in Kg),100,15.23410171781079,15.23410171781079,positive
median_prediction,1400,3,Weed28D_thiobencarb,8,14.439616466268618,14.439616466268618,positive
median_prediction,1400,4,Micronutrients_70Days,60,14.168086338587045,14.168086338587045,positive
median_prediction,1400,5,Potassh_50Days,41.52,10.717775641277191,10.717775641277191,positive
median_prediction,1400,6,LP_Mainfield(in Tonnes),50.0,10.107216281935948,10.107216281935948,positive
median_prediction,1400,7,Nursery area (Cents),80,9.684319961516492,9.684319961516492,positive
median_prediction,1400,8,LP_nurseryarea(in Tonnes),4,8.868416556545514,8.868416556545514,positive
median_prediction,1400,9,Urea_40Days,108.52,8.486603934280948,8.486603934280948,positive
median_prediction,1400,10,DAP_20days,160,4.389402836769088,4.389402836769088,positive
