feature,importance_mean,importance_std
Hectares,43.904080379742815,4.646149510024912
Trash(in bundles),38.5137039294475,5.86921567748884
Micronutrients_70Days_per_hectare,0.0,0.0
Seedrate(in Kg)_per_hectare,0.0,0.0
Nursery area (Cents)_per_hectare,0.0,0.0
LP_Mainfield(in Tonnes)_per_hectare,0.0,0.0
Potassh_50Days_per_hectare,0.0,0.0
Pest_60Day(in ml)_per_hectare,0.0,0.0
Urea_40Days_per_hectare,0.0,0.0
DAP_20days_per_hectare,0.0,0.0
Weed28D_thiobencarb_per_hectare,0.0,0.0
LP_nurseryarea(in Tonnes)_per_hectare,0.0,0.0
30_50DRain( in mm),-0.5489769880619733,0.10930931339175282
51_70DRain(in mm),-0.5551110437067486,0.07698312398291542
71_105DRain(in mm),-0.5915390130313725,0.1396104526872453
30_50DAI(in mm),-0.6341003900334528,0.1312335544466618
51_70AI(in mm),-0.6540478209966096,0.10693433694681488
30DRain( in mm),-0.6695848300943616,0.10815833141317012
30DAI(in mm),-0.730194823776614,0.10571252685156925
71_105DAI(in mm),-0.7663246178064895,0.15960243792271098
Inst Wind Speed_D61_D90(in Knots),-0.9885758808245129,0.14754879439130247
Relative Humidity_D61_D90,-1.1450808661585938,0.07100182567736454
Min temp_D61_D90,-1.2481455220134414,0.056593885835083166
Max temp_D91_D120,-1.2795656705426772,0.16807065875584573
Min temp_D1_D30,-1.3495171302098363,0.08286300763645832
Relative Humidity_D31_D60,-1.3756460354348157,0.16698861493671685
Inst Wind Speed_D31_D60(in Knots),-1.3812167906487787,0.10158842781767598
Inst Wind Speed_D91_D120(in Knots),-1.3872836289443171,0.2344130447140811
Max temp_D31_D60,-1.3883243731985502,0.16259308163719882
Max temp_D1_D30,-1.4231934593495765,0.1660078105493904
Relative Humidity_D91_D120,-1.4581050208037958,0.1528296052705413
Min temp_D91_D120,-1.458409115912989,0.1501493192347957
Relative Humidity_D1_D30,-1.4735601342713665,0.1868902886293181
Agriblock,-1.4905223486899573,0.09454915557128579
Min temp_D31_D60,-1.5806181377967334,0.1493295179354583
Wind Direction_D1_D30,-1.6424039548046316,0.1600160723298463
Soil Types,-1.6550416779032489,2.3267349567553706
Wind Direction_D31_D60,-1.7864536398814614,0.22387948028041668
Wind Direction_D61_D90,-1.836126728780112,0.23063678701291934
Wind Direction_D91_D120,-1.950618479572487,0.13237477124845734
Max temp_D61_D90,-2.8971861507380154,0.31996841738088283
Inst Wind Speed_D1_D30(in Knots),-3.0360048960887625,0.632358228762633
Nursery,-3.977906377942265,4.065413793484043
Variety,-5.325810500876216,1.3246092320010625
