feature_set,rank_in_set,feature
modifiable_only,1,Variety
modifiable_only,2,Nursery
modifiable_plus_context,1,Variety
modifiable_plus_context,2,Nursery
modifiable_plus_context,3,Hectares
modifiable_plus_context,4,Soil Types
hybrid_with_review,1,Variety
hybrid_with_review,2,Nursery
hybrid_with_review,3,Hectares
hybrid_with_review,4,Soil Types
hybrid_with_review,5,Seedrate(in Kg)
hybrid_with_review,6,LP_Mainfield(in Tonnes)
hybrid_with_review,7,Nursery area (Cents)
hybrid_with_review,8,LP_nurseryarea(in Tonnes)
hybrid_with_review,9,DAP_20days
hybrid_with_review,10,Weed28D_thiobencarb
hybrid_with_review,11,Urea_40Days
hybrid_with_review,12,Potassh_50Days
hybrid_with_review,13,Micronutrients_70Days
hybrid_with_review,14,Pest_60Day(in ml)
