rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__min_samples_leaf,param_model__max_features,mean_test_rmse,mean_train_rmse
1,-241.02862192072772,56.16915911085845,-186.44986140240178,13.847745861488187,200,16,4,,241.02862192072772,186.44986140240178
2,-246.35459617539314,56.449306964369455,-184.1085971327643,14.104004692176817,400,16,2,,246.35459617539314,184.1085971327643
3,-248.21391197225105,58.11168128340648,-189.72754210375763,13.782523012339194,400,16,4,sqrt,248.21391197225105,189.72754210375763
4,-248.46810441273638,52.712735523091865,-184.94190657982938,14.506117824341382,100,8,1,,248.46810441273638,184.94190657982938
5,-248.7649973706309,59.44335164701379,-188.07275996037674,14.231751290649022,100,8,2,sqrt,248.7649973706309,188.07275996037674
6,-248.9453378722903,60.17383275690045,-185.06073395921462,14.062187152618566,200,,2,sqrt,248.9453378722903,185.06073395921462
7,-251.01298431960217,56.36281795917429,-185.13363690155884,14.08144866771288,400,24,2,log2,251.01298431960217,185.13363690155884
8,-251.52246010075157,57.792594595177356,-185.2055129209012,14.081959360484047,200,16,2,log2,251.52246010075157,185.2055129209012
9,-255.46701245788304,57.907770587967825,-182.97032324491502,14.40131322665466,400,24,1,sqrt,255.46701245788304,182.97032324491502
10,-256.15785199424516,55.14198461817947,-182.97394572346127,14.414707903453927,400,,1,log2,256.15785199424516,182.97394572346127
11,-256.46925087091387,58.949760525377535,-183.10667728134567,14.41220657774408,100,24,1,sqrt,256.46925087091387,183.10667728134567
12,-256.55807383582845,55.75372876293,-183.02899368991507,14.404304203681367,200,,1,log2,256.55807383582845,183.02899368991507
